#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  fish: http://purl.org/heritagedata/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/fish__http_purl_org_heritagedata_schemes_eh_period__aat.sssom.tsv
#mapping_set_title: FISH SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of FISH (concept scheme: http://purl.org/heritagedata/schemes/eh_period), targeting concept scheme http://vocab.getty.edu/aat/. The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: fish:schemes/eh_period
#subject_source_version: 2025-07-17
#object_source: aat:
#comment: Extracted from local RDF file HE_Periods_20250717.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
fish:schemes/eh_period/concepts/L21	Late 21st Century	skos:broadMatch	aat:300404515		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LBA	Late Bronze Age	skos:closeMatch	aat:300019278		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC01	Late 1st Century	skos:broadMatch	aat:300404493		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC02	Late 2nd Century	skos:broadMatch	aat:300404494		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC03	Late 3rd Century	skos:broadMatch	aat:300404495		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC04	Late 4th Century	skos:broadMatch	aat:300404496		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC05	Late 5th Century	skos:broadMatch	aat:300404497		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC06	Late 6th Century	skos:broadMatch	aat:300404498		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC07	Late 7th Century	skos:broadMatch	aat:300404499		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC08	Late 8th Century	skos:broadMatch	aat:300404500		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC09	Late 9th Century	skos:broadMatch	aat:300404501		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC10	Late 10th Century	skos:broadMatch	aat:300404502		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC11	Late 11th Century	skos:broadMatch	aat:300404503		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC12	Late 12th Century	skos:broadMatch	aat:300404504		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC13	Late 13th Century	skos:broadMatch	aat:300404505		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC15	Late 15th Century	skos:broadMatch	aat:300404465		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC16	Late 16th Century	skos:broadMatch	aat:300404510		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC17	Late 17th Century	skos:broadMatch	aat:300404511		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC18	Late 18th Century	skos:broadMatch	aat:300404512		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LC19	Late 19th Century	skos:broadMatch	aat:300404513		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/LIA	Late Iron Age	skos:closeMatch	aat:300106745		semapv:UnspecifiedMatching	
